00370a19 g_flMaterial1EmissiveLevel
099fb56e g_flWindSpeedMultiplier
09fdff67 g_vSelfIllumTintScaledPass2
0a1b23d4 g_flLiquidSharpness
0a5f6844 g_flSpecularIntensity
0a82cf5c g_flLayer4Max
0a9f9f7c TintColor
0ab5134f g_nMaxSamples
0ad05daa g_tEnvironmentMapFaceHdrSrgb
0ae74144 g_vSelfIllumTimeDotPass2
0b1ccd16 g_vWireframeEmit
0b1f0e19 g_flLayer4EdgeSoftness
0b2e7c07 g_flFresnelReflectance
0b49e539 SpecularDirt
0b4c26ca g_flLayer3BorderSoftness
0b62e2fd g_tCubeMapInterior
0ba622d5 g_flVPLIntensityScale
0bb4cb72 g_vSurfelNormalizationParams
0bd73781 g_flInteriorRefractStrength
0bf98be9 g_tColorBlood
0c069f5f g_vDetail2TexCoordScale
0c27cce6 g_flBlendUVScale
0c666d1f g_vBasisXAxis
0c9b06e2 g_tTransformTexture
0caa7768 g_flXenTipFalloff
0cad2e51 g_tHighResNormal
0cb23fa3 g_flNormalTexCoordScrollSpeedX2
0cdb2ab6 g_vFadeColor
0cf23d5c g_vLayer3RoughnessScaleAndBias
0cf41739 g_flColorFlowLerpExp
0d00dfb6 g_vSelfIllumTintScaled
0d2d50d8 TextureCutOutDecal
0d90fb0e g_flLayer4EdgeOffset
0d974c54 g_vHologramColor
0d98c66a g_vBloodSelfIllumTint
0db5e366 g_bDisableNormalMapping
0dbde458 FreedomOfMotionTexture
0dcafdda g_vEnvironmentMapTint
0dfaa7e1 g_tSquishAmbientOcclusion
0e3f775f g_tColorWarp3D
0e7abfd6 g_vBorderColorTint1
0ebe618d g_tTintMasks
0ef8d751 g_tGlassTintColor
0f218f90 g_tAccentEffectNoise
0f559d34 g_bLayer3PunchIn
0f8bd55e g_vNPCVelocity10
0fb1cdd0 g_flInteriorRefractBlur
0fb1e588 g_tLayer3Color
0fd22bf0 g_flLayer4BorderStrength
100f3c2d g_flTintCycleSpeed
10314b69 g_tClearCoatRoughness
103a620b g_flSurfaceTension
105779b3 g_flFrondDeflectionEnd
1069b1d5 g_flSpatialIncoherence
107da388 g_tBentNormal
112eaf7b g_flIsSelected
1139313a g_flEdgeColorThickness
11445893 g_flInflateStrength
114d1dbc g_flSelfIllumBlendToFull
115c8835 g_vScaleAndBias
11ba8d20 g_vMoonConfig4
11c9ec08 g_vInvWidthHeight1
1206f244 g_tSceneDepthMS
1226fd0e g_nTextureAnimationMode
124fe611 g_flLayer2EdgeSoftness
1256ad65 g_vLayer2ColorTint
12656208 g_tDepthTexture
129e22f9 g_nTexelOffsetY
129f3bd7 g_bExtendBranchInfluence
12b7f9b2 g_nTexelOffsetX
12bb424b g_flRefractMaxDuDv
13143120 g_tTotalLightBuffer
13238986 g_flSelfIllumFresnel
1325d0f7 g_flOverbrightAmount
134690ee g_vTransmissionFalloffCoefficient
134b3893 IrisRoughness
1353f782 g_tDetail2
1382e639 g_vAmbientNormalSoftness
13929fa6 g_tInputInteractionMap
139c0ce4 g_tTextureLayer2
139c7043 g_vTextureDim_g_tInputTexture
13a5a4b5 g_fDepthFeatherDistance
13d4c7d7 g_flWorldUvScale
142148ab g_tLayer3Reflectance
142a6d0b g_flScrollWaveHeight3
143342de g_tLayer2Normal
143d02e9 g_vTexCoordScroll0
1452c950 g_matSkyOsToWs
14a010f4 g_vLayer1Scale
14ad25f7 g_vLuminance_LongFall_Scale
14c7bd33 g_vGhostCorrectionColorMask
14d41fae g_vInvBoxDim
156a8778 ScanlineDistortion
157e556d g_flOoSampleCount
15b86c5e g_vCombineUVScaleAndClamp2
15b91811 g_vInteractionVolumeWorldToTexelScale
15c3260a g_flMetalnessC
15d80f37 g_vNPCPosition04
15f6e299 g_vSheetSequenceAndSizes
16080ef4 g_flRefractionAmount
168e69ba g_flAnimation1Speed
169040fa g_vNPCPosition06
169bb1f0 g_tUnwrappedBlockerCoeffs
16acb26a TextureTileIndex
16c9e853 g_tSFMShadowDepthTexture
16e10a4d GrimeTranslucency
17006397 g_flOffsetColors
17017fb9 g_flHealBloodAmount
17025739 g_flDecalTileFactor
17167dd6 g_tLuminanceResponse
1757ec09 g_vBlurTint1
1765bcd7 g_flBackgroundEffectMaskWithPattern
177f69dc g_flParallaxCenterValue
1780a355 g_vLayer1ColorTint
17821e82 g_flScrollWaveHeight0
17a27ef3 g_tBloomBuffer
17be8f86 g_flCutoffAngleSoftness
18636625 g_vColorTint4
18954481 g_flMaterial2EmissiveLevel
18bcaf82 g_flSpeed
18f200b6 g_tOutsideWallColor
1913ac31 g_bCollideWithXYPlane
1917db06 g_vPrevMipBlurTint
193054d2 g_flGreenShift
1932344d g_flWindAnimationAmplitudeY
196032d8 g_flFilmGrainStrength
197e34a4 TextureRevealMask
19827fa4 g_vCubeMapCenter
1995987e TextureBentNormal
19c01457 g_flSelfIllumCustomFlowTimerPass2
19e378d8 g_flRimLightScale
1a16bc2f g_flDepthBias
1a1b60a2 g_tFresnel1Color
1a2f75f7 g_tSelfIllumFlowWaveformPass2
1a555ebe TextureSelfIllumFlowPhase
1a6ea296 TextureTriplanarMask
1a8ef07e g_tAnimationTexture
1a93924f g_vZenithColor
1aad55ad g_vGrid
1aafb06b g_bHighlightDeprecated
1ac2d2f6 TextureSquishAmbientOcclusion
1ada915f g_tSceneNormals
1b042012 g_flTransmissionFalloffDistance
1b0f9b74 g_flEdgeColorMaxOpacity
1b218d95 g_flSpatialFrequency
1b2a9f5b parsing dota_game_vulkan_v65
1b589d6b g_tSpecularDistortion
1b647687 g_vSpiralDisplacementOffset
1b773150 TextureNormalSpec
1b99b7f6 g_tTintArray
1bba39df g_flCubeMapBlur
1bc8b64f g_tScreenSpaceReflection
1bece247 g_tDensityArray
1bef8755 g_vRSMTextureDim
1c4fa16f g_tNormal
1cc0c820 g_tEnvironmentMap
1cdcb2fb g_DepthBiasAmount
1cf4ab6d g_vImageAspectRatio
1d2d24be g_tSquishNormal
1d3ef05d g_vReflexSightCenterWs
1db78e6b g_tColorBuffer
1df6b4fa g_tWindAnimationTexture
1e19e552 g_vRadiusParams
1e4ea710 g_flFace0Displacement
1e581792 g_flFresnelBumpStrength
1e69c2dd TextureDetail2
1e6a01d2 TextureReflectance3
1e78df55 g_flFrontFaceDisplacement
1ec3631b TextureSelfIllumFlowPhaseDetail01
1edc5546 g_nLODThreshold
1ee1dcd4 g_tGBufferAlbedo
1f1e35a9 g_flLiquidSpecularStrength
1f54f7c9 g_flPercentage
1f66a944 BorderColor
1f761ae7 TextureSprayMaskTexture
1f82c887 g_vLowEndSurfaceColor
1fb991c8 g_flFogMinDotEnd
1fe78bfa g_tEmissiveB
1ff0339c WindAnimationTexture
200a0e8a g_tInputBuffer
2011867b g_vLayer4GlossinessRange
201bc36c PerViewLightingConstantBufferCPU_t
20396df5 g_tFlowPhase
2055c329 g_flDetail2BlendFactor
205e561f g_vTexCoordScaleByModelV
207705b9 g_flSpiralInflateVariance
208d2f46 g_tColorCorrection1
209d3b71 g_vSelfIllumFlowParamsPass2
20a77985 g_vColorTint
20b514c0 g_vScrollUvDirection
20cec60e g_tIrradTexture
20d1ec60 g_vSizeWs
20f824ee g_flRimBoost
21dc173a g_vOutlineColorA
21f81e8d g_flOpacityScale
220ed3a8 g_tVrShadowDepthBufferDepth
2234f881 g_flOffAlpha
225366e6 g_flGrassWidth
2273ab39 g_flBloodSpecularExponent
2287618f g_tScanlinesBrightPixels
22879a25 g_tTexture3
228a061f TextureSssMask
22cd75bb g_flColorExpGreen
22f30379 MSAASampleOffsetConstantBuffer_t
232271f0 g_vSelfIllumFlowPhaseDetail02UVScale
2322e58c g_flCloakIntensity
233195b4 g_flNormalTexCoordScrollSpeedX0
233f7c83 g_flFlowPhaseDetailStrength
235dbff6 g_tGrassQuadArray
238af9cf g_flReflectionPower
239544dc TextureTintTexture
23d30e78 g_tColor0
23f7ad8f parsing dota_game_vulkan_v66
24095882 g_vColorWarpUvScale
243b6368 g_tAmbientOcclusion
249bd89e ReflectionMapDescriptor_t
24e8a508 g_flDiffuseExponent
24f35cf8 g_flScrollWaveHeight2
24fbcc2d g_tBackgroundEffectPattern
250e3b3a FilterTaps_t
25105cb6 g_vLayer3ReflectanceRange
2540c6a1 bRemoveRoll
2560cd98 g_vOnTint
2569bbf4 g_flSampleRadius
25899042 g_flEncodeToRGBM
25991763 SpriteCardPixelControls_t
25de422e g_flHeightColorStrength
25e6bdd5 g_flRotateHatchingOffset
26024faa g_tColorWarp3DFromCode
267d8db7 g_flRoughness
269a6a3a g_flHotSpotStrength
26a00a73 FancyQuadCoreConstants_t
26d0bfc7 g_flLayer2BorderStrength
27062ae3 TextureLayer4Reflectance
271b3618 g_flCubeMapScalarExterior
272f651b g_flLiquidWobbleWavelength
27a79ab7 g_vAlphaTexCoordOffset
27fe9d7a g_tSelfIllum
280d8216 g_vTexCoordScroll3
2820e485 g_textureArray
28218544 g_vBlueNoiseDitherParams
284b2954 g_vMoonRadiance
284f6410 g_vNPCVelocity04
28c68dbc g_tColor2
28de4349 g_tWindMask
29017987 g_OrthoParams
2908cdc7 TextureLayer4Glossiness
2930fb04 g_flLayer2Metalness
29591c3d g_flMetalnessB
29975159 g_vTexCoord2Offset
29b87b43 g_flSelfIllumBrightness
29bfb069 g_flWindHighFrequencyEffects
29c6ddfb SrcBlend
29ced6fe g_bFog
29dbda1d g_vDetailTexCoordScale
29deac43 g_flCloakRefractAmount
2a1c6da0 g_vTestGravityDir
2a301d6d TextureRevealMask1
2a78f7f9 g_flSelfIllumFlowPhaseDetailStrength
2a8a1c75 g_tLightmap0
2a8d89d1 TextureRoughness
2aa38c8c g_flBackgroundColorAmount
2ac02460 g_flEdgeErosion
2acd380e g_tParticleTextures
2af711bf g_flBrushScale
2affc520 TextureSelfIllumMask1
2b5319ab g_flSolidRange
2b5f3a88 g_flTexCoordOffsetU
2b6ad2ef DstBlendAlpha
2b7b63b6 TextureLiquidMask
2b939b74 g_flFogScale
2b98417f TextureScanlinesMoving1
2bc06801 g_flTessellationFactor
2be1a604 g_flLiquidBrightness
2c03c36e OutsideWallColor
2c34d1bc g_flAccentEffectMaskWithPattern
2c70b53a g_flRefractBumpStrength
2cc5daa5 TextureClearCoatRoughness
2cf74520 g_tColorCorrection
2d8ceba9 g_vXenHandGlowColor
2dc4ef01 g_tSpecularWarp
2dc52984 parsing dota_game_pcgl_v64
2e4e147c TextureSelfIllumFlowWaveformPass2
2e57d230 g_flBloomStrength
2e658291 g_tPreviousRT
2eaa4c4d g_vLineColor
2efb016e TextureSpiralNormal
2f05e439 g_flAnimationTimePerFrame
2f1448cb g_flReticuleBaseOpacity
2f18dcf7 g_tLayer1Roughness
2f4bbb61 g_tBlueNoise
2f593075 g_vLayer3BorderColor
2f773bc5 TextureLayer2Color
2fc6566a TextureEmissiveB
2fd77782 g_flAccentHologramStrength
2fda3ac1 g_flLayer4BorderOffset
30792762 g_vGradientradialoffset
3087225d g_vInteractionClearColor
30a01032 g_vInvSplatTextureDims
30deda29 g_bAllowGlobalColorTintLayer4
3199b60c g_vMatRow2
325b0ce1 g_tGlassDust
328bb208 g_vNPCPosition09
32a7c389 g_flFoamLevelAdjust
32ca0ab7 g_vInnercornerradii1
32d2ab48 g_tSpecular3
32d2b297 g_vLiquidLevelDownwardsMinMidMax
32e12c7a g_flMeteorBloomThreshold
32f3767b BlendEnable
33002701 g_flTexCoordRotate1
3308a7e6 g_tNormalA
3309d6b8 TextureSpiralOverlayColor
3357fa10 g_tSSAOOcclusionFactor
338ee4b7 g_flFresnel1Strength
33a263fa g_flAlphaTestReference
33e81749 TextureRoughnessA
344c5b91 g_flLayer2BorderOffset
34625f90 g_vInputDim
348f1069 g_vWindDir
3492bcd5 g_flPanoramaPanelLODBias
34a1408c g_vAccentEffectMask
34b91a03 g_tNormalAndSpecUser
34df7fd7 g_nNumNPCs
352c5a23 g_tClearCoat
35353dcd TextureScanlinesMoving2
35489c9d g_flScroll1X
354b2074 g_bShowLightmapTexels
354f954e g_tAnisoGloss
35ac5d57 g_vInsideWallMiddleTint
35ce85f8 g_bUseSecondaryUvForDetailTexture
35f958e7 g_vCenterShift
35fb5ff6 g_vEmissiveEdgeColor
360a3523 g_flTexCoordScale2
36100710 g_tRefractionMap
362c1bde g_flLayer1EdgeSoftness
364b3f8d DepthEnable
365240ac g_tAlbedoAndAlpha
36598914 g_vInteriorLightTint
36b17593 g_flScleraDiffuseWrap
36b3c874 g_tReflection
3723b571 g_tScanlineDistortion
37598a97 g_flAnimationFrame
377c3c46 g_flAnimation2Speed
3785751d g_tColorTranslucency
37be51ec g_flEnvironmentMapBoost
37cb23d6 TextureGlassTintColor
37d64b6a g_flFogMinDotStart
38034580 g_vTexCoordTransform1U
38144d51 g_flSaturation
38159faa g_flOoVrFoveatedOverlap
38272050 g_flTimeOffset
3827cd70 g_flRenderOnlyExposureBias
38394897 g_tParallaxMask
3844de0e InsideWallVoidColor
38908f45 g_flRadialBlur
38a04622 g_flDetailAmp
38a9ff24 g_flMaterial1TintAmount
38c215de TextureVignette
38ebec13 g_flBorderTintSoftness2
38f66b8b g_tSheetTextureAlbedoAlpha
3903b3f4 g_flTexCoordRotation
39098c78 g_flCorneaScleraBumpStrength
391674d9 g_flReflectBumpStrength
391d8e35 g_vSunConfig8
394fbc71 SkyTextureCube
3974c47d TextureDissolveMap
3a2d049d g_vReflectanceRange
3a8f15e6 g_tGBufferDepthMS
3adbdd3b g_flGrassHeightMax
3b175064 g_flCutOutDecalMappingScale
3b279dd1 g_vSparklyColor
3b5681f6 GlassDustColor
3b68182a g_vLayer4BorderColor
3b80ab37 g_flNormalTexCoordRotation2
3b9c8ee1 g_bLightingOnly
3ba6b71f g_tY
3bacc6b9 g_tLightProbeVolumeTextureDirectLightIndices
3bbb0644 g_vPaperColor
3bc6820f g_flColorFlowUvScrollDistance
3bfb4ad2 FastBlurFilterParams_t
3c086f33 g_flGenericSpecularExponent
3c0ecc4a g_vReflexSightRight
3c2356b6 TextureDisplacementMask
3c8819ea g_flRimLightSharpness
3cb168f5 TextureRoughnessBlood
3d1a2fba ReverseMotionMask
3dcef3f2 g_tNormal0
3dd8ff40 g_flCurvatureScale
3e0db574 g_vInvBoxDimCascade0
3e310b51 TextureSelfIllumMask0
3eb4ab5e g_vUvShift
3ee151d1 g_vRadiusConsts
3eeacfaf g_tSpiralNormal
3ef8abea TextureBloom1
3f2e1dae TextureMetalnessMask
3f5d65fb g_vNormalTransform1U
3f996ac4 g_vColorTintB0
3facb5df g_vBubbleColorInner
3fb30f31 g_tParticleSheetTexture
3fc7a04e g_vMoonConfig5
3fc87e79 g_bIsSFM
3fe11907 g_flAlphaCutoffSoftness
3fe8bbbb g_vEyeOcclusionViewProj
3ff7af34 TextureFlickeringAnimation
4005eaec g_flLayer2BorderSoftness
404ad318 g_flSpecularBlendToFull
405bd3d2 TextureColor2
405fb2f5 TextureTint2Mask1
4072c991 g_flLayer1BlendSoftness
40d6b6b3 g_vAnimationInvGrid
41010386 g_vProjToScreenScaleBias
4118d22b g_tWarpTextureBlue
4149abf2 g_bUseSecondaryUvForAmbientOcclusion
4152239c g_flSSAOBias
420eff23 g_tNormalDetail
428361c7 g_flTexCoordScale
4298b6a7 parsing dota_core_pcgl_v64
42c1f263 g_vSheetSequenceAndSizesAlbedoAlpha
42d84a80 g_flWindAnimationAmplitudeX
42dcb7f9 g_flFlowTimeScale
432b90ba g_tAccentEffectPattern
43490c3e g_vModulationColor3
4362a7ba g_vReflexSightFwd
43632954 g_vSunlightDirWs
4374168c TextureLayer4Normal
43913705 g_tSpecMask
43a89fb6 g_flCubeRefractTransparency
43b2f7d9 g_vEmissiveTintScaled
43cb174f g_flIndirectFresnelExponent
44177a2e g_flHatchingScale
44a0cd2f g_fDepthFeatherTolerance
44ae722b g_tLightingClipmap1
44b445f7 g_tHDRColorTexture
44e552c0 g_flAccentEffectNormalTiling
4548a64b g_flWarpScale
45b0f200 parsing the_lab_pc_v62
45b5492b g_flFilmGrainRange
45c9aeb8 g_vDofLerpBias
45d17e72 g_tBrdfLookup
45d17e72 g_tBRDFLookup
45eea618 g_flAlphaOutputMinimum
463f2f0d g_flInstanceIDIndex
4642b98b DstBlend
46588e8b g_flTransmissiveStrength
4668b2b5 g_vSunConfig3
466fc760 g_tLightingClipmap0
4680dd4e g_tMetalnessReflectanceFresnel
46851cd4 TextureBloodDecal
4695beaa g_vSunConfig0
46a01e64 g_vReflexSightUp
46aa59d5 TextureAlphaTest
46caa4f6 g_tGrassQuadSpecularArray
46cdf39a TextureDiffuseWarp
46e6472a g_flLensCenterToOverlapBoundarySq
46edb201 g_tOutputInteractionVolume
46f98436 g_tSsaoBuffer
470878fd g_flXenMovementScale
472ed962 TextureAccentHologramLookup
4739fce2 g_vReflectanceScaleAndBias
4755b713 g_tDynamicAmbientOcclusion
475d68f2 SpriteCardPushConstants_t
4784bd64 g_vDiffuseTint
4788efc2 BackStencilPassOp
478fd96a g_tUvMotionMask
480b8b25 g_vRimLightColor
484c8f22 g_tUnwrappedRadianceCoeffsR
487949fb g_flFOWColorFade
48910289 g_flMaterialCloakFactor
48d9fa95 g_tRSMNormal
48dae5b0 g_vCombineUVScaleAndClamp
49185669 g_flSpecularScale
492cc433 g_tInputDepth
494193ca g_flBrightenEmptyArea
49711537 TextureTintMaskB
49744be4 g_vOutercornerradii0
497cf603 g_tSprayMaskTexture
49816623 g_bAllowGlobalColorTintLayer1
49a5dfda TextureTintCycleLookup
49c91029 g_tCubeMapExterior
49e84b06 g_tSpecular
4a0aad1a SpritecardMotionVectorsSheetData_t
4a14c347 g_vLensPlane
4a178d02 g_vBackgroundColor
4a4fbbd6 g_flEmissiveEdgeColorThickness
4a5934dc g_flUseAlphaChannel
4aa4168f g_flDissolveReferenceValue
4aa5bce8 g_flFlashlightAnimationRate
4ab75562 g_nTexelOffsetZ
4afbefde g_flLayer3Max
4b16650a g_flLowEndSurfaceMinimumColor
4b1eab3c g_vBloomStrengths
4b875c2b g_transformBuffer
4bb64c3a g_tAlphaTest
4bd6948d g_vShadingComplexity
4c279458 g_flAmbientScale
4c2fd7b8 g_vTextureDim_g_tGBufferDepth
4c328b15 g_flLayer4BlendSoftness
4c3f04eb g_vTexCoordOffset2
4c7baaa2 g_flFoliageUvAnimation
4c94fc68 g_vSpiralUVSpeed
4cb0f450 g_ChannelMask
4cc09dd8 g_flFOWDarkening
4ccd9a25 g_flFresnel2Strength
4cdbdb54 g_flBackgroundHologramPatternOffset
4ce2cd7a g_vSelfIllumTexcoordOffset
4d206e11 g_flDissolveEdgeWidth
4d79f9bd g_flDiffuseLightingStrength
4dbf8136 g_flSelfIllumFlowPhaseDetail02Strength
4deb3b4c g_vColorTintD3
4df4dd0a g_flWallPlaneDistanceScalar
4df51f82 GrassParamsPerQuadSlice_t
4df66c83 g_flReflectance
4e267294 g_flLayer4EdgeNormalSoftness
4e32b824 g_flSpiralInflateScale
4e7862c8 g_tTextureLayer1Clamped
4e803597 g_vTextureDim_g_tColor
4e806df3 g_tLayer2Reflectance
4e812859 g_flTestAgitation
4e84aa14 g_vXenGlowColor
4f01c1f4 g_flParallaxStrength2
4f13588c g_flLayer2EdgeStrength
4f81c9f9 g_tNormal1
4fa88429 g_flDistanceFromEyeWs
4fae819d DeferredLocalLightConstants_t
4fba0acf g_flGrimeOpacityScale
4fcca94f g_flScroll1Y
5008eba8 g_vLayer2ReflectanceRange
5014d6fe g_tSkyMap
50151983 g_vSelfIllumFlowPhaseDetail02UVOffset
503b8165 g_flSprayInValue
5050fd26 g_tRSMDepth
50558aa6 g_vBackgroundEffectMask
5088a8a8 g_flSaturate
50a9de23 TextureScanlines
50dfeaf4 g_flFalloffExtinction
50e7f81d g_nToolsVisMode
5101ca96 g_vInvWidthHeight2
513a256e g_flLensCenterToCheckerBoundarySq
514b0a23 g_flSelfIllumFlowSpeed
514d59a7 g_flLayer3EdgeOffset
51856e82 g_tDiffuseWarp
518c7ec1 g_flBlendNormalThreshold
518f5c7d g_bRowMajor
5193f496 g_flAlphaRange
51aed646 g_flNormalMapScaleFactor
51b68a0b g_vWallPlaneRight
51cc5002 g_nCount
51d30cdd g_vBubbleOrigin
52308f55 TextureAoConeLUT
5240da31 g_matSkyPsToWs
52d42d1c g_flBoundaryWobbleStrength
531d50d9 g_vTexCoordScale1
53201922 g_tPaper
536564a2 g_vBlackLevelClampGammaSpace
536c9c52 g_tSourceMsaa
53c53fd2 g_flFOWOriginalStrength
53dc9131 g_tQuarterResEffectsColor
54008238 TextureStretchAmbientOcclusion
540600d6 g_tHeightFogTotalOpacity
54121411 g_vReflectionColor
547365f4 g_vBackTexCoordOffset
548768f7 g_vBordercolor
548768f7 g_vBorderColor
5493ebe1 g_tLayer2GradientReveal
54ad6e9a g_tLayer0Reflectance
54c95222 g_tMaskTexture2
5564082c g_lightProbeVolumeSet
5566a9f0 g_flWaterFogShadowFactor
5568d84c g_tWindNoise
55812ff6 g_nDebugMode
55c6dfa2 g_vRandSampleScale
55f98015 TextureNormal1
55fc14c5 g_flModelTintAmount
56195ae4 g_vInvPagedTextureCoeffDim
5634f649 g_texture
5660ac8d g_vSpiralDisplacementSpeed
568b013d g_flColorCorrectionDefaultWeight
56b7c634 g_tTriplanarMask
5700e66f CullMode
571e53ab g_tFlowParameters
5730907d g_bAlphaAnglePower
57390bc6 g_vShaderIDColor
5743a33a g_tLightmap4
574cde91 AddressV
5762501f g_bTrunkBendsWithHandInteraction
577f48d4 g_flHeightFogDepth
57b43180 g_tAOMap
57bddad0 g_tTextureTileIndex
5899698e g_flOutlineStrength
58a3f1d2 g_tColorCorrection0
58bf0372 g_flScrollUvSpeed
5963540f g_tColor
597e0bce g_tMasks2
59a032e2 g_flAlphaAnglePower
59fba63f g_vTonemapMaskColor
5a913671 OutLightingFroxelTexture
5ac688ea g_flBorderOffset1
5ace7924 g_flWindAnimationVarianceInSpace
5af410f8 g_tGBufferNormal
5b1405c2 TextureLayer3Reflectance
5b365a85 g_vSelfIllumTintPass2
5b7b6cc9 g_vFilterColor
5b817bea g_tNormalRoughness
5b864ab4 g_bUseSecondaryUvForSelfIllum
5ba02d96 g_vDiffuseWrapColor
5ba87c59 g_vNPCVelocity08
5bd11342 g_bUseSecondaryUvForTintMask
5bf1bc46 g_flLowEndBaseBloom
5bfab246 TextureLayer1Reflectance
5c048a79 TextureWindMaskLow
5c09f4c7 g_tCr
5c1d5a95 g_flMeteorBloom
5c2ba01d g_tXenGlowMask
5c325960 g_vViewport
5c3b6bde g_flDistortHScale
5c3cf5eb g_flFadeExponent
5c58ca6b g_tVignette
5c9aaa2d g_flScrollWaveCycleSkip3
5cabd6d9 g_tIDMask
5cb61bec g_flDiffuseWarpBlendToFull
5cbbc038 g_flSelfIllumFlowPhaseDetailStrengthPass2
5cbdd222 g_tEmissiveMask
5cfa09b9 GlassTintColor
5cfbf643 g_tLayer2Roughness
5d54444c TextureNormal3
5d8a9b67 g_flLiquidSurfaceSpecularStrength
5ddfe877 TextureFlowWaveform
5e208158 g_tFootPrintTexture
5e3002da g_tChannels
5e3073e7 TextureSelfIllumMask2
5e499b35 g_vFlowPhaseDetailTexCoordXform
5e7c274d g_vDetailNormalStrengthOffsetScale
5ea58e83 g_flHeightMapScale
5eb42edc g_vLayer4ReflectanceRange
5ec8a8fd g_flInkStrength
5ecb67cd g_vFogClipmapIndirectBBOffset
5ece96cc g_vPremultipliedXenHandColorNormalized
5f0a9fc9 InsideWallReturnToLevelColor
5f41e6c3 TextureFlowPhaseDetail
5f452793 g_flGradientExponent
5f483d56 g_vFogClipmapUVBiasScale2
5f6676c6 g_flScrollWaveCycleSkip1
5f8a4121 g_tLightmap2
5fdfc2ee g_flAccentCubeMapEffectStrength
6023950c TextureNormalBlood
6026593a g_flDetailNormalStrength
602b1087 g_vColor1
604be028 g_flTriplanarScale
60901022 TextureLayer2Normal
60af6688 Texture
60e0fcc9 g_flBackgroundEffectNormalStrength
60e3ce24 g_flForceFogDistance
60fa4c51 g_flCubeMapBlurAmount
613b9f75 g_vTexCoordXform
6141e5c1 g_flReflectRimStrength
614bd46a g_flTrunkDeflectionEnd
6154c44f g_vHandVelocity2
6163253f GlassBackfaceDustColor
617da799 g_flDetailScale
628e1950 g_vMyViewportSize
62b60f84 g_flPinch
62ba1d23 g_flLayer4EdgeStrength
62fa9fbd TextureAmbientOcclusionMap
62fcfa58 g_flSpiralDisplacementStrength
62fe0f59 g_tQuadOverdrawMutexUAV
63153f92 g_flFallOff
633f1f88 g_vBoxMinCascade0
635eb949 g_flGradientTop
63c13d2f g_flSelfIllumOverallScalePass2
63e42b7b g_flLowEndBloomPower
64052573 g_flWaterLineStrength
641f1172 TextureTransmissiveThickness
6441769f g_tBackgroundHologramLookup
64588ab8 g_tSourceMorphAtlas
645912e5 g_tLiquidMask
64850e94 g_vTexCoord2Scale
649bafec g_tAlbedoAndAlphaUser
64a51645 g_flNormalTexCoordScrollSpeedY2
64f175f6 g_tLowResDeferredLightingDiffuse
65065740 g_vCameraPosFs
651ace31 g_vBloomInvTexDim
65234c1e g_flFlipDirection
6524a176 g_vSelfIllumScrollSpeed
65670ef6 g_vScanlineTextureOffset
65853521 g_flLayer3Metalness
65bfd307 g_bReflexSightActive
65cd365b g_vNPCPosition07
